UserID,Item1,Item2
2507,187,1743
571,2529,3062
5505,294,512
4137,1822,2304
5135,633,3560
256,2614,1633
935,2257,2250
4439,2797,1903
4102,1933,40
1863,2441,2313
4236,1223,1067
5893,641,1785
2683,207,3600
2544,3686,1903
961,2363,3532
2562,1351,3483
5389,287,3212
5838,2980,1049
583,1757,3086
4368,2804,3151
5054,150,170
2248,3635,3287
2339,542,2596
1178,1417,241
2518,1128,474
4026,3435,3145
4833,916,406
3500,28,2321
2455,569,3474
2624,1915,1524
2427,972,583
1643,1900,3292
4210,2080,2773
4734,2297,1213
1940,3589,888
5454,406,2026
1215,3689,1986
733,3192,1201
1673,2740,1405
5914,286,609
2037,2697,3679
2152,3003,1065
6036,3094,3127
681,1856,278
4444,75,2272
4607,2331,2032
5834,1154,1318
5778,2303,1931
3262,3582,1281
2405,2695,1074
5411,1281,1465
3208,199,1414
2348,2370,1961
3044,964,314
3540,2462,1681
5133,2492,3118
2619,3523,2116
446,3357,319
4719,3218,299
2006,3480,1503
3151,1961,2110
1016,2282,1438
5884,3542,723
2137,1451,314
3546,679,3260
4298,734,826
5149,3435,3420
1276,2129,1760
3881,2099,276
4085,2274,18
1302,2459,1629
2409,3636,423
3766,1888,1839
801,2794,3186
2458,1367,307
4629,1856,362
3687,775,604
2984,3053,3235
2328,1846,320
5169,858,65
481,3329,3068
2307,37,2369
1002,1631,3135
3525,1037,879
1253,3033,3500
2075,540,2511
3520,2608,581
3681,886,1071
3618,3031,3671
5714,769,60
2151,3207,2431
4919,1471,2991
4174,3541,1196
3242,278,202
5032,3635,634
1580,1743,2756
3111,1608,726
5350,708,957
1129,406,2708
2147,3393,3373
4855,1482,2689
415,831,3544
489,3102,2502
891,541,828
275,3432,2760
1763,3142,1380
1829,1900,528
1257,2840,2313
3882,244,738
137,2529,320
17,3214,540
4023,512,151
1843,3296,2524
643,2032,2846
5225,1357,2215
5106,3341,340
4622,782,18
5851,3663,2796
2563,2364,809
1850,313,3662
4517,2062,361
3544,1590,1432
660,18,54
2966,1900,1533
5765,1780,13
289,2618,961
2884,213,557
4094,1418,2524
2336,2990,1450
5130,877,1643
827,2721,851
1622,2149,1140
3011,2400,2685
2789,3147,1594
1134,2875,814
351,1475,782
1851,1230,1402
2069,127,2768
5140,2414,3217
5739,1906,287
5653,789,291
1641,3408,2878
1386,1209,708
3584,3615,2721
5561,1357,3134
5943,753,2830
5364,1828,3487
1338,764,926
4839,1325,3062
4028,249,1530
3409,1661,3100
2,1704,630
4875,3402,2186
5953,1849,1404
2039,2827,245
4736,3293,2524
1470,814,2661
1518,2728,2073
4640,2002,3224
671,3492,406
5470,2652,1886
304,3112,1149
396,3438,2793
4760,2251,127
5269,2750,1037
981,1770,678
4947,1137,1117
560,236,439
1579,2099,1275
3581,2747,1159
1301,2797,3675
445,1502,12
5747,860,2920
2774,299,373
5488,1408,1874
1232,3690,3224
2181,3084,129
3586,1253,735
4793,2491,752
4822,3360,933
3698,2796,1813
2577,1155,1507
1390,75,2240
472,3367,3112
5768,2625,2198
1055,3260,2745
3919,2692,1911
3178,305,715
4007,1003,3291
5013,2938,2990
3386,3620,1614
2742,3273,1574
4421,2506,242
3198,1793,1849
5613,948,1564
2466,3321,2016
3798,968,3500
5062,3007,638
5196,273,2255
5799,162,2696
354,40,1703
5381,1851,1331
1404,327,3523
1330,2419,2883
2909,2997,433
5996,1461,541
1776,2088,575
5000,3002,1529
3816,788,2262
1791,463,775
2257,183,557
3983,2764,1167
3136,1861,745
4942,512,3175
5907,418,884
5170,2495,266
3990,897,1201
104,1068,1107
2446,2110,925
2623,2306,1095
426,1469,406
796,1604,184
5532,3267,3442
2512,481,1986
3486,545,532
5115,2475,2553
808,2912,2983
4438,3334,231
4121,2115,853
1835,1785,2830
118,3651,466
3342,2011,349
2802,2859,3694
3634,3315,2996
586,2539,638
6019,2681,3092
2109,2374,2399
3974,3344,779
1040,884,2629
3063,1748,3493
2480,1653,2890
1933,2425,658
353,1136,2982
2525,292,289
2638,1759,1900
3361,882,964
2093,3251,127
1391,493,1524
1825,14,1363
52,2642,1421
2482,3072,1147
1298,1439,2560
1467,1448,1906
3942,1895,2141
5161,2241,429
2814,1486,1145
754,1003,716
5297,1068,1925
2132,3028,3353
1354,1892,3029
747,1079,2530
2724,3330,384
5373,2431,549
410,2677,3297
2981,1645,888
1537,843,3062
1201,2887,773
4186,3615,2025
661,2605,3205
3484,3158,967
3677,1659,3190
4878,2213,1386
2095,3093,3605
648,220,1118
1154,745,1019
5563,3476,3406
2628,240,609
4379,123,299
2417,1155,646
739,1959,2513
3282,290,2265
267,2291,1458
2255,1557,2808
2861,1037,500
5316,1637,2738
665,995,1481
1674,1019,3639
5686,936,3566
5784,60,2084
1533,2003,2407
698,952,388
813,1499,1529
1619,2603,2063
3997,553,290
1646,3158,2768
551,3106,1772
5553,299,33
142,2862,2031
2825,2734,170
4179,1740,1570
3878,3634,2721
4252,123,2335
230,1253,2990
5203,3574,2500
793,784,2104
877,479,1235
2515,751,254
3805,1417,706
3457,1268,595
3968,2110,634
2866,2345,2211
4263,2781,1078
5565,2179,55
33,950,1117
2292,1093,604
5924,1329,642
1408,3237,127
3013,2396,1300
5673,647,181
5093,1879,3594
1557,613,1555
4647,641,2738
147,1676,675
1650,1228,2259
4486,128,2013
2010,1486,1380
3022,1397,2400
246,1959,2970
2924,995,1446
93,1811,473
4729,2167,314
522,1071,3526
2416,1729,2538
3142,772,360
1454,3652,2091
1022,1279,2433
4318,2356,220
220,1127,2102
2060,39,3075
3759,2609,3605
467,874,2378
2729,1845,3392
1977,2209,1584
2998,2993,2599
5865,79,3238
3034,1543,2862
4461,1599,2677
546,700,1075
791,1142,1486
1884,1360,1758
4542,1360,703
480,1810,3497
4868,3325,508
1185,3614,321
4561,955,3634
861,858,1174
2509,1160,2005
4462,1083,2933
5412,1759,635
5435,2340,2810
1167,358,189
2777,1310,740
2494,1522,1858
3273,247,3169
4062,854,2669
770,1833,529
1326,884,1584
189,3074,1243
1443,1695,1092
2618,85,3436
688,1941,277
3833,102,1515
3072,2780,1354
547,406,1205
3637,845,638
3370,3312,3614
263,1859,988
339,1675,2520
2045,1930,2349
1340,282,2806
4951,723,1524
203,2524,1059
4078,1280,3154
1437,410,195
5401,3467,3299
5832,1942,1386
2249,1094,2013
3113,2582,3143
3189,1817,1584
3740,436,2928
4010,44,1692
4501,1944,920
3315,1103,3072
550,978,988
2529,3675,1327
1553,3062,78
920,2780,1226
2938,138,2564
5409,1189,178
4141,1476,2447
5294,2045,2263
3420,3064,3532
1826,1373,3071
2699,2112,845
3799,1437,2971
4707,258,2994
1937,3458,299
1049,18,2580
2759,606,350
3476,643,3095
3440,3543,3461
3078,2127,1529
4710,228,1661
1255,3018,2465
792,264,52
393,3337,1757
1678,1770,1341
757,3217,2407
4194,2858,1266
2271,3003,1626
5117,2407,3252
4794,181,1387
1046,532,1363
2049,1,2585
2473,143,287
4787,1759,3666
3744,780,1261
1614,1636,1567
4570,1008,2086
561,3486,1323
1314,2400,1900
1283,3035,3515
3827,1899,2431
3945,3168,1327
5754,2022,157
2244,839,2626
5290,751,743
1570,2797,1738
3567,423,3444
302,482,1963
2144,3408,1925
966,1352,3504
1349,1953,1579
5957,1850,2430
2403,2282,661
3648,2736,1227
2747,733,1057
3168,3299,108
2281,675,635
3782,2898,715
4766,400,948
2713,1201,585
5804,2777,2697
2667,3002,2462
1747,2400,2917
878,853,3523
5710,3497,2182
3582,1562,1004
231,3020,319
1029,1631,2732
3580,1872,1311
3564,2085,1661
2108,37,2883
3761,3232,3541
3160,1117,384
3416,2867,1
1246,2940,919
3363,622,412
762,489,3652
1114,241,566
968,1559,3166
2133,2400,468
4044,278,874
636,2400,3274
2324,884,854
4638,1150,916
2756,258,1438
5445,375,184
1428,3163,2458
849,644,225
1370,2705,284
2901,1072,434
5189,3373,1826
1135,2319,591
2406,746,340
3489,1046,3406
3600,2029,3408
3239,1858,3085
2780,814,3198
2471,582,2682
2688,3522,3086
5658,1712,2390
1202,678,2022
3441,351,175
2013,775,3483
4898,1643,3365
2595,807,2425
2020,1546,879
5328,1555,3530
2452,538,398
4852,622,408
1486,3398,3260
5213,3621,1499
3617,1190,2314
5723,436,42
4314,2899,2778
832,1283,127
4946,2453,2390
4043,958,2758
2304,1743,1769
1745,1486,405
2439,2718,3052
3372,1431,1503
4933,1935,2863
883,2473,585
5973,1098,2742
5560,1123,3541
5880,290,3305
180,2953,2864
3137,3016,882
3220,1632,2913
1403,2776,1154
5570,635,10
5021,3101,1133
1076,1227,2868
2112,3180,638
250,2003,2935
345,2830,1858
2579,641,619
5475,2121,590
122,3344,1917
2573,767,2626
4603,2386,1765
2337,1810,2532
3883,3527,234
3649,1533,722
5999,2407,656
4204,3197,2976
3686,951,1704
5374,1638,299
2083,40,3652
6027,3698,1814
2252,2013,1731
1412,547,867
787,357,838
3403,2846,1265
4329,3694,967
280,364,1068
5045,1988,2036
3389,299,844
2589,3677,1630
4720,2411,123
5654,2169,905
1965,1969,2261
5080,2553,347
5939,1026,3044
4882,3053,2181
4695,186,2290
3602,8,153
3281,554,2333
4845,1631,2759
3300,1062,1392
934,2913,3232
5267,469,3062
5770,2016,1526
4837,2528,1759
4353,2452,161
3994,2491,259
3182,1614,408
115,305,3695
1102,2109,222
790,1305,3500
2903,188,3069
4254,2077,1209
2829,2632,2306
5805,3619,2985
5029,2909,3492
487,2860,434
912,3514,36
266,300,189
674,1181,3418
486,1505,296
4095,1541,3677
3493,3396,281
1321,423,2293
2710,2439,3005
3210,1900,1286
5321,477,295
3578,2712,2681
479,868,2295
3904,1432,1034
2682,3002,840
2091,2648,807
3421,2151,3523
886,795,3607
4361,287,450
2992,1620,792
4914,2667,1529
4518,2334,542
1427,202,1972
2371,3666,1778
3490,1611,1531
4895,3036,2547
2499,676,2742
992,3118,596
1676,1027,443
1773,363,753
2840,1245,948
3791,1290,639
497,103,2035
6017,3289,2810
554,2211,854
2392,3546,3106
2407,2101,131
1278,301,1336
1248,3220,1462
3815,2669,2310
5138,3376,3373
4686,3598,2009
5457,384,127
3562,1662,1880
3558,1980,1385
2862,3142,2128
2769,1723,1074
4373,1894,3586
431,1758,3124
4414,1900,3403
401,2337,1386
5622,2282,2325
558,1380,2204
4478,1428,864
5250,1692,503
2474,2863,378
4891,2161,645
300,716,1555
245,44,340
3745,532,2939
2353,1836,1484
443,2950,423
2902,1221,2160
2746,2135,2818
3097,3684,869
5273,992,308
5067,2010,2018
617,2621,1654
5678,423,2577
1649,3197,1062
5966,176,1914
5646,616,1574
1860,446,3003
4427,538,2128
2946,437,1609
515,267,515
932,2510,1784
5694,327,2279
124,406,2020
5759,2727,1627
4771,1550,2403
1479,851,595
3134,2244,1203
4861,2262,1128
1960,126,3132
4448,1749,2621
805,3110,3498
1577,1015,1658
3917,1452,3593
5762,1250,2340
744,3213,2814
3573,1651,779
3620,3426,2324
1895,169,2835
6038,3224,553
174,2200,2105
3535,1880,985
4625,3419,629
5264,299,725
81,2035,449
3009,3235,1220
4416,1791,285
5500,745,1241
1712,173,3273
2414,10,263
3132,1156,3226
5773,2697,458
4276,2599,75
5883,3455,2088
1069,775,2138
1468,449,1432
3429,565,721
662,1969,648
3623,1111,3695
3217,957,3373
1426,2495,3106
2817,125,2183
1039,2410,1546
2205,1268,1857
761,2044,2570
1583,1677,331
6014,2324,2109
3519,468,1782
3498,258,3408
1104,347,2830
2694,406,663
5059,2409,1888
4815,540,2386
5437,3062,3174
2179,986,1864
2117,3541,3435
3088,2374,2179
15,3035,2705
5066,3243,1415
1608,782,2853
4434,449,1665
5504,3618,730
1973,3100,2136
4009,2951,2806
3437,1116,2258
693,3251,2077
47,3624,3086
1677,937,943
2858,3333,306
3857,995,1136
1708,838,3044
227,2224,1201
2364,2458,916
3375,1702,3174
1762,2580,1760
4943,937,2628
3277,3176,3225
946,3607,2236
382,2956,2836
4380,1484,115
537,2639,3493
1827,660,3408
2586,2090,2611
2092,3384,2880
3696,108,1029
3381,1753,951
3394,127,2192
3670,2022,1731
2033,2462,2938
3664,49,2211
5073,1831,3069
4202,2949,1982
3739,405,2317
2796,606,822
1609,1677,604
4700,313,2400
1261,1040,2268
4086,1213,3346
43,164,1939
799,300,45
4922,601,1672
3431,3267,2820
3153,549,1026
3446,3104,1476
1918,1168,1080
2874,2257,2254
5252,3540,1584
5846,782,3128
4849,1766,3669
4597,3381,3418
5891,97,3284
3128,251,2425
1938,2588,3102
3762,3390,2723
5036,2016,3337
2945,828,2701
5580,2353,3164
3101,3673,296
4103,3640,2697
6030,307,3189
704,2287,2077
1901,1143,1546
128,1786,102
4336,2211,2494
5968,2503,2167
5494,987,1392
3329,1849,863
721,1720,1594
205,2975,565
4096,902,3523
2022,1064,3658
5743,2491,2839
1132,406,1081
4110,925,9
343,390,360
1689,418,2804
2287,2842,2648
2036,3621,92
816,3214,1256
4476,2990,2470
2775,1131,3655
2951,849,1397
3529,2410,41
2148,1550,3033
2116,3301,695
54,2388,3314
3340,2390,3023
4287,869,2734
2658,3236,161
629,1705,924
66,2268,449
2776,1883,510
5863,3086,2564
109,2682,1095
594,1465,3214
4818,734,1041
72,1518,2407
5954,814,199
3688,2697,999
3597,2735,3183
1571,2832,1260
4512,764,962
4879,2898,434
247,3365,1732
690,2348,3533
170,3009,2855
5349,1357,1926
179,405,2831
37,1338,2815
2419,1965,219
1768,126,2886
1487,3265,1953
2492,297,859
2367,2329,2066
2608,328,647
192,2893,533
3552,1708,3501
1562,593,1710
810,1043,2482
416,2390,3360
3796,2870,1592
663,746,1028
5726,127,1
5983,1197,2466
1153,2401,3014
5405,1546,2270
5587,842,2538
1549,2609,2927
3647,3700,918
4371,2251,1017
3499,1485,18
2246,1502,2705
4050,780,2992
4618,137,1261
4645,2909,1323
3984,924,1830
3102,3213,1006
4733,1290,361
2398,3675,517
1660,1683,857
5299,2815,1711
4388,3689,1878
3501,3393,1870
2762,1387,2257
980,271,2618
5608,3575,3540
4968,65,2627
336,2187,249
2058,859,647
2413,3221,3346
1331,1553,2945
4054,877,424
4196,3210,1486
3991,1174,2934
5839,2799,1584
3561,3481,959
2472,589,1832
713,307,3541
178,1218,843
1013,2866,1832
3609,2028,1082
1781,901,2832
5257,406,2266
1910,2412,127
32,1411,3200
5997,2939,2214
3818,3118,2112
2121,1112,1476
1053,63,2683
539,3015,3170
5171,866,842
1564,1197,71
5685,1360,3383
4251,875,483
1798,1526,1441
516,334,2023
4659,1895,1089
3400,726,2901
2565,1926,2276
597,3620,3546
2541,873,3195
5369,2504,2099
3619,223,2020
5388,226,2174
2661,3226,3506
4385,453,2070
4774,3694,3547
2434,581,15
4673,379,2319
5172,2211,1041
2807,2261,2971
1004,2307,1484
4347,1851,1095
2355,2349,3392
879,1993,542
4619,227,1448
1351,2184,3437
3454,3268,2437
5826,3306,1290
712,1019,632
2442,3209,2513
1088,3062,1884
3146,3507,1790
4504,2490,3435
1419,1367,2257
2656,3196,1775
4227,1785,941
705,898,3064
2115,3108,2304
3154,1033,40
839,919,3411
3378,1449,3127
5167,527,2032
4447,1441,8
2918,3488,3110
2218,2758,569
2228,816,189
4177,1598,2352
2081,2511,3246
3808,1611,3428
3937,3455,2271
6021,1002,621
4234,145,1920
1962,2848,3275
5595,2181,1397
4363,1520,1109
5688,101,2555
4728,3006,532
3849,3181,2257
4513,1591,1704
5751,3298,2287
73,1529,760
501,2986,452
4091,2888,2317
5268,1267,710
3965,2139,888
313,413,2371
2906,1410,3118
4821,1234,900
3831,2251,1183
2543,2812,1614
2610,1429,2355
1477,1797,313
4905,3346,2186
2404,2782,60
5806,838,3054
2090,1635,3133
5061,1214,1687
5249,833,743
3337,3423,621
3957,552,2163
1680,3018,3174
2642,2689,1927
5177,3114,3196
702,2413,3673
340,609,55
954,780,1095
3068,2645,1417
305,1357,1096
8,2246,3580
2513,3400,3635
4352,1314,1869
5903,2349,1775
5216,1720,3003
397,857,1971
732,3003,618
5256,3020,3551
1395,301,253
4081,2502,85
4916,911,2880
3021,3349,2473
477,840,2270
2904,2013,1571
784,2013,1497
436,299,1595
833,125,2560
4389,193,2936
3418,3636,1873
1422,2419,1095
4017,1849,1646
780,2868,2830
4828,1503,2959
2070,559,531
4453,2290,149
3685,2905,1987
4396,2913,3447
464,3612,934
5372,3408,40
5158,464,2935
4684,2333,1633
5921,492,2532
2997,406,429
1220,2682,860
2600,695,2626
3830,2842,593
3631,3604,2955
911,2409,3309
4847,532,2585
2448,2507,506
5004,616,102
5229,475,102
3062,1492,1914
5818,2909,1483
2795,1456,1791
2974,1159,1320
2989,75,3432
4674,848,1771
222,1010,2609
269,260,203
3050,3191,3274
4880,755,1692
2207,2513,331
581,52,3481
429,3064,2697
2340,531,3091
4084,3003,196
3985,3521,3112
975,2866,91
5126,736,870
398,463,733
1534,218,2340
491,540,2076
381,1452,782
3166,2211,1607
5508,1002,217
492,1147,3358
848,3312,924
5462,561,28
2538,2608,1060
678,2114,1880
3103,888,2705
3935,2192,2407
1524,1784,845
4692,2276,1502
7,1782,3598
2308,2582,2993
4376,3401,2970
1846,1760,3113
4869,1360,3587
5643,2173,1875
3741,2072,2814
5382,2400,2805
4201,2714,2425
4198,1790,3689
1984,1555,3309
3083,197,395
1317,1662,1155
5424,2583,408
1717,2463,1317
3875,312,3511
1924,1344,1731
2285,1614,3373
248,2553,2511
1688,2793,1366
3257,1993,307
4402,1477,3583
196,3544,541
3603,2173,1603
2032,3275,3634
4544,3108,2102
364,589,3220
2937,2999,3031
184,114,648
4551,483,3523
4002,855,3003
4872,185,405
847,2122,223
1186,3694,1439
3870,2500,1529
1951,1004,185
6001,1146,2057
4230,3113,3237
1093,3283,1743
1916,1392,1018
3115,2444,3549
3553,2781,408
2171,670,3663
5447,2602,1815
873,3694,969
4243,1390,647
5925,1062,76
4936,1360,2232
4894,766,1545
5916,1025,1308
5147,1833,123
2956,1295,920
4153,1329,368
3040,3593,3436
2437,2087,535
3067,1232,2408
3860,952,602
2982,127,747
740,1147,2023
5344,175,3332
39,1391,405
3692,3110,2875
4342,1314,418
5175,1566,2936
3853,1045,3234
947,1909,1071
309,1596,2418
4930,1524,959
5772,2777,880
5429,2606,406
5989,167,377
668,2470,1590
5301,3544,765
4913,109,985
1992,3152,2553
1152,1577,2422
2238,1332,1338
4931,40,1071
1909,1524,2999
4934,1702,2814
3635,1154,198
738,467,2150
2096,562,2697
3695,1155,3532
5707,3173,410
461,2892,1381
2378,972,485
5808,3527,2537
3488,3473,125
4474,842,3448
1149,3697,1175
2173,2290,2008
5303,1505,1287
6004,654,131
5317,1800,2624
5738,879,1662
2245,1338,2394
5820,2094,477
1449,247,2145
5465,171,200
4819,497,2597
1733,3639,3436
2689,112,115
1459,1898,2860
4987,782,3041
5802,2999,3370
908,2390,3373
729,2431,1432
3127,73,1268
4288,2609,3064
2678,2379,227
1124,3638,2270
3885,1802,2731
999,866,28
4907,2700,2774
2460,814,556
4349,851,1776
4972,1759,2763
5978,1229,313
1917,1239,392
4500,3345,1173
5143,2848,2659
763,277,3614
5231,389,876
4781,538,1682
474,855,290
3283,2473,1052
2615,973,2425
4796,2669,1608
4193,3423,374
1356,924,1360
4042,778,1304
4649,3706,2102
5423,1654,2814
5731,1156,564
3064,2637,3514
3478,2452,1338
788,1436,1039
5566,2936,1124
2803,2090,2821
909,284,1388
3260,1489,2845
1376,2346,995
4749,533,2717
1216,2291,1286
5230,245,313
350,1154,2346
2838,2195,1877
3659,2561,2324
600,1888,163
3712,664,406
1227,2473,1102
2421,1908,2490
418,3578,1286
4753,1189,1420
1309,312,2815
5885,937,3424
673,3642,3672
5683,628,3381
36,1019,3493
5292,817,3373
424,1495,55
5877,749,2248
766,2455,376
1189,2431,3004
4550,1253,1439
5795,510,1960
2222,2019,1339
1502,2627,1026
815,292,1967
725,1897,2766
1879,1805,3283
682,1853,449
4709,2047,2660
5459,1367,8
4533,1737,408
2120,95,3365
1460,1422,3677
4595,1263,983
5886,106,35
1621,613,641
517,1047,2509
2395,334,517
5629,199,3369
2077,1586,1677
1899,2852,3373
1613,814,414
4441,910,2243
5639,3229,3274
2450,2821,2814
1350,1782,1190
2653,339,1385
62,2933,279
5869,1900,1804
5817,2060,697
1508,3010,3337
2593,3129,361
5104,1838,127
430,3422,2366
5572,1338,2462
4854,26,2814
2220,2669,2417
1247,2479,1631
4667,1002,1064
4912,1663,2151
2370,2146,3142
5684,1262,473
4149,2734,287
3323,109,657
2849,1732,215
3229,2404,2093
3268,2232,538
3237,1371,541
5522,3569,2458
2432,158,1176
4519,161,938
90,645,497
5546,3435,59
2055,685,2009
4864,2189,538
2243,485,2069
3126,2379,3536
5576,1816,3226
3570,2764,2931
2389,546,851
1457,3195,3006
5427,2669,2878
4188,1335,299
1333,315,2370
2449,2580,789
2056,3663,639
2872,190,1397
325,320,722
3079,3134,3640
3398,1571,1782
4835,1231,2099
1217,2501,733
3963,1182,564
105,58,639
1854,2621,498
5892,1145,1439
4134,3550,1950
3084,2859,1563
2456,3615,986
3291,1319,697
4795,473,2528
4977,3541,2633
3579,507,476
5548,2411,271
2988,2032,2748
4253,1918,2815
4330,2536,3687
1852,1924,2272
4981,1970,1833
2824,2269,1900
5781,535,1240
4606,473,579
427,166,3098
2242,1874,2295
1127,2467,188
63,3373,1489
659,1310,2426
2274,313,1118
4338,14,3028
326,1724,2016
4554,511,3146
1514,2263,2021
4881,559,1162
268,3003,878
1656,43,2184
4780,1905,147
3356,602,3183
2551,1897,2458
3673,2246,140
5125,639,1179
1815,634,1387
4724,3477,1596
567,3265,313
4430,261,3120
3338,1768,2746
1864,409,2293
5917,3088,2241
4637,3152,2630
640,2415,3106
4211,1064,297
3447,2453,1874
2134,18,2514
5679,66,478
2666,2725,1338
4703,3386,1388
4306,636,3523
613,2821,2261
5162,3634,2240
1667,2211,19
4229,730,3310
1452,2645,2696
6031,2699,1502
1137,491,2565
3341,2559,2986
1496,3248,1930
3387,2639,938
3109,1891,419
2967,825,1806
152,3104,1011
1031,3405,1144
257,1002,2640
4600,2406,193
1047,1310,2131
97,3636,291
2970,3681,1707
4983,3142,406
153,1712,3681
1813,2832,1900
2300,1224,2750
2847,2211,222
1034,127,3197
5419,1885,1894
1727,1707,637
495,1095,932
5544,641,835
3301,1646,602
5208,2016,2880
5516,1893,2871
3027,520,1253
5879,1502,2878
2135,2758,3621
1194,1411,279
3223,2488,2584
4892,1591,1189
3172,549,1586
4255,517,1711
5913,857,3384
2606,2419,366
1694,1550,1584
4633,2270,3091
3343,1568,1100
3377,1888,567
3023,1635,66
5458,1828,1652
607,727,2028
2635,3317,726
4590,1275,1693
1661,2155,1856
131,310,2458
3170,313,2636
1944,85,2126
5604,2336,1105
5426,1550,2214
3419,2430,3434
4888,3523,2185
1195,893,3016
4527,361,1582
1188,1,2426
2521,1215,3620
2068,1139,3172
2569,2073,2215
2763,2836,647
2693,349,8
5631,405,12
2651,405,3521
5669,572,988
4537,312,1879
38,2752,945
3742,592,249
87,788,3583
513,1918,3104
809,1707,2708
4286,954,343
2994,2018,1922
3995,1589,548
4558,2977,145
200,65,3348
5911,60,2069
5358,2495,290
5102,3618,792
2740,1693,1461
4279,453,955
1811,3072,1784
5776,1512,756
1635,3618,880
812,3366,3604
1130,1997,2190
957,460,3373
2294,2484,223
3141,3411,995
5131,647,2363
4191,2985,3550
2681,512,3112
1451,1254,3515
3632,3435,99
5022,1464,277
1366,3686,2084
3811,3522,3336
186,1294,2814
2185,1431,2901
2779,1529,509
1671,317,795
3479,3035,105
5110,2291,2604
5827,174,1549
5468,348,1450
1886,3301,2330
4240,2993,783
383,1529,320
5228,1707,292
1119,1028,731
3988,1041,1593
3455,1272,2812
967,1662,2080
2980,1487,3280
2959,3427,1183
3473,3429,727
4885,1614,1137
2574,2276,2357
5392,2525,2819
4285,3208,986
4390,3057,2188
166,342,2044
1970,3641,865
4798,1158,860
528,986,1576
2616,3547,884
3676,1611,2600
3931,3009,2992
3428,3141,1707
1956,1036,1814
1943,1000,3675
2333,892,3499
3029,2090,1091
4505,1434,2107
1586,1343,2427
5680,2167,359
2391,3295,1351
2886,676,2370
4302,2830,943
454,1568,2804
3713,430,39
4354,3279,2035
4773,406,486
5377,1023,3233
4351,2142,2614
1833,1695,2937
2030,3330,1561
542,2625,3070
4702,427,1190
1888,223,256
4205,449,1853
2783,1570,3577
948,2242,3009
5780,3536,2666
2503,2811,814
706,3069,780
3760,5,72
5239,1012,406
5407,88,548
4150,1199,3116
4675,3370,519
3302,3197,763
2706,3195,644
4752,403,3437
3466,3361,1404
1106,1785,2646
2558,3359,1639
3978,141,3207
1463,83,3373
4579,2456,964
5332,1777,971
3294,113,3154
3550,1652,3098
5048,1306,2447
1294,3689,2745
2605,361,764
4420,3003,238
2239,745,783
437,2968,1701
1530,1986,1001
685,1053,1432
2726,3463,3532
5464,1091,3083
4915,1521,3238
2736,1290,3153
3306,1769,836
5402,703,1138
3852,134,65
4732,2213,313
5186,1659,1503
4131,1386,1438
1819,3349,232
2806,624,1
866,236,3678
3693,1227,2246
3726,280,429
5334,3329,3600
3120,241,1939
2059,3660,888
6026,568,3292
1816,2329,1701
2270,2830,3256
2009,577,2705
392,1949,2230
5393,1049,986
